provider_id,name,city,state,latitude,longitude,specialty,secondary_specialty,specialty_category,experience_years,service_cost,wait_time_days,patient_rating,risk_rate,certified,background_check_passed,network_type,capacity,telehealth_available,hospital_affiliation,CMS_quality_score,region,target,keep_prob
P01167,Provider_1167,City_167,CO,39.8501,-105.4821,Dermatology,Endocrinology,Specialty Care,6,200,42,3.02,0.82,False,True,Out-of-network,267,False,Hospital_67,2.89,East,1,0.99980253
P01168,Provider_1168,City_168,WA,48.1011,-120.3901,Pediatrics,Psychiatry,Primary Care,32,150,7,5.0,0.53,True,False,Out-of-network,496,False,Hospital_68,3.32,South,1,0.9998808
P01169,Provider_1169,City_169,MI,44.7148,-85.2024,Neurology,Urology,Specialty Care,19,450,53,2.68,0.37,True,True,Out-of-network,382,True,Hospital_69,2.29,East,0,0.0021167668
P01170,Provider_1170,City_170,CA,37.2283,-118.9679,Urology,Psychiatry,Specialty Care,9,380,57,4.27,0.86,True,False,Out-of-network,157,True,Hospital_70,3.04,North,1,0.99988925
P01171,Provider_1171,City_171,TX,31.9686,-99.9018,Ophthalmology,Urology,Specialty Care,9,180,17,2.33,0.56,False,False,Out-of-network,422,False,Hospital_71,2.3,North,1,0.99952865
P01172,Provider_1172,City_172,NV,38.8526,-116.3694,ENT,General Practice,Specialty Care,37,220,13,2.67,0.38,False,False,Out-of-network,364,False,Hospital_72,2.06,East,1,0.9994137
P01173,Provider_1173,City_173,PA,41.3033,-77.0945,Dermatology,Urology,Specialty Care,28,200,38,4.96,0.1,True,True,Out-of-network,304,False,Hospital_73,4.79,North,1,0.9998517
P01174,Provider_1174,City_174,CA,36.9283,-119.2679,Pediatrics,Pediatrics,Primary Care,6,150,5,2.35,0.37,False,True,In-network,476,False,Hospital_74,1.16,South,1,0.9994137
P01175,Provider_1175,City_175,MI,44.5148,-85.4024,Urology,Endocrinology,Specialty Care,11,380,27,4.14,0.28,True,True,In-network,121,True,Hospital_75,4.69,East,1,0.9998622
P01176,Provider_1176,City_176,AZ,34.2989,-110.8437,ENT,Cardiology,Specialty Care,39,220,8,1.49,0.76,False,False,In-network,328,False,Hospital_76,2.65,North,1,0.9996792
P01177,Provider_1177,City_177,MI,44.6148,-85.3024,Pediatrics,Psychiatry,Primary Care,26,150,10,4.63,0.29,False,True,Out-of-network,235,False,Hospital_77,2.5,East,1,0.999458
P01178,Provider_1178,City_178,IL,40.9831,-89.0485,Ophthalmology,Orthopedics,Specialty Care,40,180,19,2.91,0.42,False,True,In-network,76,True,Hospital_78,2.48,North,1,0.99945515
P01179,Provider_1179,City_179,MI,44.7148,-85.2024,Pediatrics,General Practice,Primary Care,2,150,13,2.36,0.88,True,True,Out-of-network,285,False,Hospital_79,1.05,North,1,0.99952865
P01180,Provider_1180,City_180,WA,48.2011,-120.2901,Dermatology,Psychiatry,Specialty Care,2,200,19,1.83,0.0,False,False,In-network,459,False,Hospital_80,1.97,South,1,0.9994137
P01181,Provider_1181,City_181,OH,40.4173,-82.9071,Neurology,Ophthalmology,Specialty Care,5,450,20,1.38,0.21,False,True,Out-of-network,270,False,Hospital_81,3.21,South,1,0.99892586
P01182,Provider_1182,City_182,NY,43.3494,-74.1679,Pediatrics,Psychiatry,Primary Care,1,150,6,1.94,0.33,False,True,Out-of-network,423,False,Hospital_82,1.63,West,1,0.9994137
P01183,Provider_1183,City_183,PA,41.3033,-77.0945,Endocrinology,General Practice,Specialty Care,28,400,52,3.69,0.23,True,False,Out-of-network,160,False,Hospital_83,3.25,South,1,0.9998622
P01184,Provider_1184,City_184,PA,41.3533,-77.0445,Pediatrics,Neurology,Primary Care,2,150,38,1.93,0.17,False,True,In-network,363,False,Hospital_84,3.68,North,1,0.999851
P01185,Provider_1185,City_185,CA,36.9783,-119.2179,Psychiatry,General Practice,Specialty Care,34,250,45,1.29,0.7,False,True,In-network,255,True,Hospital_85,3.97,East,1,0.99988866
P01186,Provider_1186,City_186,WA,48.0011,-120.4901,General Practice,Endocrinology,Primary Care,6,100,38,1.94,0.84,False,False,Out-of-network,462,True,Hospital_86,3.41,South,1,0.9998802
P01187,Provider_1187,City_187,TX,32.2686,-99.6018,Pediatrics,Neurology,Primary Care,39,150,10,3.99,0.44,False,False,In-network,463,False,Hospital_87,4.05,East,1,0.9998517
P01188,Provider_1188,City_188,FL,28.3444,-81.4103,Dermatology,Pediatrics,Specialty Care,38,200,10,3.29,0.78,False,False,In-network,390,False,Hospital_88,4.18,West,1,0.9998808
P01189,Provider_1189,City_189,TX,32.3686,-99.5018,Urology,Pediatrics,Specialty Care,11,380,58,4.81,0.1,True,False,In-network,477,False,Hospital_89,2.4,North,1,0.9994167
P01190,Provider_1190,City_190,WA,48.2011,-120.2901,Cardiology,Neurology,Specialty Care,12,500,58,2.42,0.65,False,True,Out-of-network,353,False,Hospital_90,2.53,North,0,0.0026315362
P01191,Provider_1191,City_191,TX,31.9686,-99.9018,Orthopedics,Urology,Surgical,11,400,6,1.44,0.49,True,False,Out-of-network,91,True,Hospital_91,2.29,East,1,0.99956197
P01192,Provider_1192,City_192,TX,32.0186,-99.8518,Urology,Endocrinology,Specialty Care,27,380,54,1.65,0.32,False,True,In-network,98,False,Hospital_92,2.86,North,1,0.9997477
P01193,Provider_1193,City_193,MI,44.4148,-85.5024,Pediatrics,Dermatology,Primary Care,17,150,9,4.65,0.09,True,True,In-network,142,False,Hospital_93,2.47,South,1,0.999458
P01194,Provider_1194,City_194,NY,43.4494,-74.0679,Dermatology,ENT,Specialty Care,8,200,17,2.69,0.21,False,False,In-network,250,True,Hospital_94,3.51,South,1,0.9998615
P01195,Provider_1195,City_195,GA,32.3656,-82.7001,Pediatrics,Pediatrics,Primary Care,25,150,46,4.05,0.64,False,True,In-network,73,True,Hospital_95,4.84,West,1,0.99988925
P01196,Provider_1196,City_196,NY,43.5494,-73.9679,Pediatrics,Orthopedics,Primary Care,8,150,23,1.59,0.45,True,True,Out-of-network,230,True,Hospital_96,2.81,West,1,0.9997141
P01197,Provider_1197,City_197,MI,44.6148,-85.3024,Pediatrics,Cardiology,Primary Care,23,150,35,1.36,0.51,False,True,In-network,193,True,Hospital_97,1.78,South,1,0.99956197
P01198,Provider_1198,City_198,NV,39.1526,-116.0694,Pediatrics,ENT,Primary Care,3,150,48,1.09,1.0,False,False,Out-of-network,116,True,Hospital_98,3.63,East,1,0.99988866
P01199,Provider_1199,City_199,AZ,34.4489,-110.6937,Cardiology,General Practice,Specialty Care,8,500,48,2.72,0.99,True,True,Out-of-network,250,True,Hospital_99,1.21,West,0,0.0028312707
P01200,Provider_1200,City_200,GA,32.6156,-82.4501,Urology,General Practice,Specialty Care,8,380,5,4.81,0.95,True,True,In-network,288,True,Hospital_100,1.31,North,1,0.99953103
P01201,Provider_1201,City_1,NV,38.8026,-116.4194,Endocrinology,Cardiology,Specialty Care,27,400,6,1.84,0.59,False,False,In-network,172,False,Hospital_1,2.61,South,1,0.9997018
P01202,Provider_1202,City_2,CO,39.6001,-105.7321,ENT,Pediatrics,Specialty Care,12,220,27,1.76,0.06,False,False,In-network,56,False,Hospital_2,2.86,East,1,0.9997477
P01203,Provider_1203,City_3,FL,28.0944,-81.6603,Orthopedics,Dermatology,Surgical,40,400,41,1.03,0.29,True,False,Out-of-network,206,True,Hospital_3,1.87,West,1,0.99945515
P01204,Provider_1204,City_4,IL,40.7831,-89.2485,Endocrinology,Ophthalmology,Specialty Care,38,400,16,3.61,0.28,True,False,In-network,314,False,Hospital_4,1.54,West,1,0.9994167
P01205,Provider_1205,City_5,TX,32.1686,-99.7018,General Practice,Urology,Primary Care,35,100,29,4.33,0.9,True,True,Out-of-network,229,False,Hospital_5,2.39,West,1,0.9995641
P01206,Provider_1206,City_6,IL,40.8831,-89.1485,Pediatrics,Dermatology,Primary Care,18,150,21,3.04,0.58,False,False,In-network,393,True,Hospital_6,2.34,East,1,0.9995413
P01207,Provider_1207,City_7,AZ,34.3489,-110.7937,Gastroenterology,ENT,Specialty Care,32,420,23,3.19,0.18,False,True,Out-of-network,185,True,Hospital_7,1.89,West,1,0.999458
P01208,Provider_1208,City_8,TX,32.3186,-99.5518,Orthopedics,Cardiology,Surgical,15,400,26,4.52,0.91,True,True,In-network,146,False,Hospital_8,1.67,South,1,0.9995641
P01209,Provider_1209,City_9,MI,44.7148,-85.2024,Orthopedics,ENT,Surgical,40,400,23,1.52,0.11,False,True,In-network,288,True,Hospital_9,3.68,West,1,0.999851
P01210,Provider_1210,City_10,NY,43.7494,-73.7679,Pediatrics,Neurology,Primary Care,40,150,43,1.57,0.34,True,True,Out-of-network,252,True,Hospital_10,1.59,West,1,0.99945515
P01211,Provider_1211,City_11,WA,47.7511,-120.7401,Neurology,Pediatrics,Specialty Care,2,450,27,2.55,0.34,True,False,In-network,474,False,Hospital_11,1.11,South,0,0.0021167668
P01212,Provider_1212,City_12,IL,40.6831,-89.3485,Psychiatry,Pediatrics,Specialty Care,33,250,38,2.94,0.57,False,True,Out-of-network,382,True,Hospital_12,2.05,West,1,0.99952865
P01213,Provider_1213,City_13,NV,38.9026,-116.3194,Urology,Urology,Specialty Care,12,380,24,3.45,0.67,True,False,In-network,310,True,Hospital_13,3.76,South,1,0.9998808
P01214,Provider_1214,City_14,WA,47.9011,-120.5901,Urology,Dermatology,Specialty Care,1,380,6,3.63,0.57,True,True,In-network,372,False,Hospital_14,4.67,East,1,0.9998808
P01215,Provider_1215,City_15,GA,32.3656,-82.7001,General Practice,Pediatrics,Primary Care,11,100,56,1.08,0.81,True,False,Out-of-network,231,True,Hospital_15,3.77,South,1,0.99988866
P01216,Provider_1216,City_16,MA,42.6572,-71.1324,Pediatrics,Neurology,Primary Care,26,150,44,1.39,0.41,False,False,Out-of-network,213,False,Hospital_16,1.05,North,1,0.99945515
P01217,Provider_1217,City_17,GA,32.4656,-82.6001,Gastroenterology,General Practice,Specialty Care,11,420,12,1.71,0.51,False,False,Out-of-network,498,True,Hospital_17,2.02,South,1,0.99952865
P01218,Provider_1218,City_18,FL,28.3444,-81.4103,Cardiology,Dermatology,Specialty Care,22,500,22,3.86,0.05,True,False,Out-of-network,213,False,Hospital_18,1.3,North,0,0.002289136
P01219,Provider_1219,City_19,IL,41.0331,-88.9985,ENT,Orthopedics,Specialty Care,37,220,23,3.84,0.17,False,False,In-network,471,False,Hospital_19,1.94,East,1,0.9994167
P01220,Provider_1220,City_20,PA,41.6533,-76.7445,Pediatrics,Dermatology,Primary Care,2,150,14,2.11,0.43,True,False,In-network,84,True,Hospital_20,2.05,South,1,0.99945515
P01221,Provider_1221,City_21,NY,43.2994,-74.2179,Endocrinology,ENT,Specialty Care,25,400,47,4.79,0.58,True,True,Out-of-network,95,True,Hospital_21,4.88,East,1,0.99988925
P01222,Provider_1222,City_22,PA,41.2533,-77.1445,ENT,Dermatology,Specialty Care,34,220,41,4.02,0.77,False,False,Out-of-network,117,True,Hospital_22,1.54,North,1,0.9995641
P01223,Provider_1223,City_23,FL,28.0944,-81.6603,Endocrinology,Pediatrics,Specialty Care,9,400,12,3.19,0.15,True,True,In-network,253,True,Hospital_23,1.58,East,1,0.999458
P01224,Provider_1224,City_24,PA,41.3533,-77.0445,ENT,Endocrinology,Specialty Care,21,220,42,3.46,0.81,False,False,Out-of-network,465,False,Hospital_24,2.8,East,1,0.9997539
P01225,Provider_1225,City_25,TX,32.1686,-99.7018,Neurology,Cardiology,Specialty Care,7,450,14,3.77,0.54,True,False,Out-of-network,473,True,Hospital_25,2.61,South,0,0.0038818317
P01226,Provider_1226,City_26,IL,40.8831,-89.1485,General Practice,Urology,Primary Care,1,100,16,3.29,0.19,False,True,Out-of-network,293,False,Hospital_26,2.56,East,1,0.999603
P01227,Provider_1227,City_27,NV,39.1026,-116.1194,Dermatology,Psychiatry,Specialty Care,14,200,35,3.91,0.52,False,False,Out-of-network,334,True,Hospital_27,4.19,West,1,0.9998808
P01228,Provider_1228,City_28,WA,48.1011,-120.3901,Dermatology,Urology,Specialty Care,33,200,49,2.45,0.83,True,True,Out-of-network,230,False,Hospital_28,3.01,West,1,0.99988866
P01229,Provider_1229,City_29,MI,44.7148,-85.2024,Urology,Gastroenterology,Specialty Care,9,380,16,3.43,0.26,False,True,In-network,495,True,Hospital_29,4.48,East,1,0.9998517
P01230,Provider_1230,City_30,CO,40.0001,-105.3321,Cardiology,Cardiology,Specialty Care,37,500,47,1.0,0.56,False,True,In-network,66,False,Hospital_30,3.11,East,1,0.9991364
P01231,Provider_1231,City_31,NC,35.7596,-79.0193,General Practice,General Practice,Primary Care,18,100,47,3.76,0.3,True,True,Out-of-network,352,True,Hospital_31,2.68,West,1,0.999603
P01232,Provider_1232,City_32,MI,44.3648,-85.5524,Psychiatry,Psychiatry,Specialty Care,20,250,22,3.11,0.32,False,True,Out-of-network,338,True,Hospital_32,4.81,South,1,0.9998517
P01233,Provider_1233,City_33,TX,32.0686,-99.8018,Pediatrics,Neurology,Primary Care,34,150,60,1.87,0.52,True,True,In-network,156,False,Hospital_33,4.37,South,1,0.99988866
P01234,Provider_1234,City_34,IL,40.7831,-89.2485,Ophthalmology,Ophthalmology,Specialty Care,25,180,15,2.7,0.36,True,True,In-network,88,False,Hospital_34,3.37,South,1,0.9998615
P01235,Provider_1235,City_35,TX,32.1686,-99.7018,Cardiology,Dermatology,Specialty Care,8,500,13,2.62,0.34,True,False,Out-of-network,104,False,Hospital_35,4.54,West,1,0.99892586
P01236,Provider_1236,City_36,WA,48.0011,-120.4901,Psychiatry,Urology,Specialty Care,40,250,24,2.51,0.99,False,True,In-network,304,True,Hospital_36,4.29,North,1,0.9998802
P01237,Provider_1237,City_37,AZ,34.3489,-110.7937,Cardiology,Cardiology,Specialty Care,9,500,20,4.52,0.4,True,True,Out-of-network,404,True,Hospital_37,4.7,North,1,0.9988501
P01238,Provider_1238,City_38,MA,42.7572,-71.0324,Endocrinology,Dermatology,Specialty Care,25,400,57,2.31,0.13,True,True,Out-of-network,367,True,Hospital_38,2.88,South,1,0.9997284
P01239,Provider_1239,City_39,AZ,34.4489,-110.6937,Orthopedics,Ophthalmology,Surgical,15,400,46,1.02,0.28,True,True,In-network,264,False,Hospital_39,1.8,North,1,0.99945515
P01240,Provider_1240,City_40,TX,32.4186,-99.4518,Dermatology,Dermatology,Specialty Care,38,200,17,1.2,0.75,False,False,Out-of-network,463,False,Hospital_40,3.98,East,1,0.9998802
P01241,Provider_1241,City_41,TX,31.9686,-99.9018,Dermatology,Neurology,Specialty Care,31,200,37,1.92,0.1,False,True,In-network,161,False,Hospital_41,1.51,North,1,0.99945515
P01242,Provider_1242,City_42,PA,41.2533,-77.1445,Neurology,Dermatology,Specialty Care,24,450,51,3.76,0.68,True,False,In-network,62,False,Hospital_42,1.83,West,0,0.0028457039
P01243,Provider_1243,City_43,CO,39.6501,-105.6821,Gastroenterology,Neurology,Specialty Care,14,420,9,3.18,0.74,True,True,Out-of-network,146,False,Hospital_43,3.11,East,1,0.99988925
P01244,Provider_1244,City_44,TX,32.1186,-99.7518,Endocrinology,Pediatrics,Specialty Care,13,400,24,1.94,0.49,True,True,In-network,257,False,Hospital_44,4.26,South,1,0.99988866
P01245,Provider_1245,City_45,NY,43.4994,-74.0179,Cardiology,Gastroenterology,Specialty Care,35,500,29,3.46,0.38,True,False,In-network,275,False,Hospital_45,1.82,East,0,0.0022945134
P01246,Provider_1246,City_46,FL,28.2444,-81.5103,General Practice,ENT,Primary Care,35,100,28,3.3,0.5,True,False,Out-of-network,437,False,Hospital_46,3.27,East,1,0.9998808
P01247,Provider_1247,City_47,PA,41.5033,-76.8945,ENT,Cardiology,Specialty Care,18,220,39,1.13,0.87,False,False,Out-of-network,332,True,Hospital_47,4.25,South,1,0.9998802
P01248,Provider_1248,City_48,CO,39.9001,-105.4321,Ophthalmology,Neurology,Specialty Care,24,180,45,4.22,0.65,True,True,In-network,484,False,Hospital_48,2.0,West,1,0.99953103
P01249,Provider_1249,City_49,IL,41.0331,-88.9985,Cardiology,Endocrinology,Specialty Care,2,500,55,3.07,0.08,True,False,In-network,319,True,Hospital_49,3.3,South,1,0.9988501
P01250,Provider_1250,City_50,PA,41.6533,-76.7445,Endocrinology,Urology,Specialty Care,34,400,29,1.27,0.16,False,False,In-network,478,True,Hospital_50,4.45,North,1,0.999851
P01251,Provider_1251,City_51,MA,42.4072,-71.3824,Orthopedics,Neurology,Surgical,26,400,12,1.02,0.93,True,False,In-network,106,False,Hospital_51,1.33,North,1,0.99956197
P01252,Provider_1252,City_52,IL,40.6831,-89.3485,Pediatrics,Ophthalmology,Primary Care,15,150,45,1.6,0.66,True,False,In-network,426,True,Hospital_52,1.83,West,1,0.99952865
P01253,Provider_1253,City_53,PA,41.3033,-77.0945,ENT,Psychiatry,Specialty Care,3,220,32,4.86,0.28,True,False,In-network,347,False,Hospital_53,2.76,East,1,0.9996939
P01254,Provider_1254,City_54,NY,43.4494,-74.0679,Gastroenterology,Urology,Specialty Care,31,420,53,2.77,0.84,False,True,In-network,488,True,Hospital_54,4.45,East,1,0.9998802
P01255,Provider_1255,City_55,CO,39.7501,-105.5821,Neurology,Pediatrics,Specialty Care,17,450,43,3.61,0.32,True,True,In-network,489,False,Hospital_55,2.25,South,0,0.0021275654
P01256,Provider_1256,City_56,OH,40.6673,-82.6571,ENT,Ophthalmology,Specialty Care,18,220,54,2.1,0.08,False,False,Out-of-network,155,True,Hospital_56,2.79,South,1,0.9997141
P01257,Provider_1257,City_57,NY,43.5994,-73.9179,Dermatology,Psychiatry,Specialty Care,5,200,27,4.67,0.11,True,False,In-network,144,False,Hospital_57,3.03,North,1,0.9998622
P01258,Provider_1258,City_58,PA,41.5533,-76.8445,General Practice,General Practice,Primary Care,16,100,19,3.93,0.8,False,False,Out-of-network,283,True,Hospital_58,3.12,North,1,0.9998826
P01259,Provider_1259,City_59,OH,40.8173,-82.5071,Urology,Dermatology,Specialty Care,12,380,21,3.68,0.18,False,False,In-network,493,False,Hospital_59,4.18,South,1,0.9998517
P01260,Provider_1260,City_60,MA,42.8572,-70.9324,Orthopedics,Pediatrics,Surgical,22,400,28,1.17,0.21,True,False,Out-of-network,315,True,Hospital_60,1.97,North,1,0.9994137
P01261,Provider_1261,City_61,TX,31.9686,-99.9018,Endocrinology,Cardiology,Specialty Care,36,400,53,1.06,0.59,False,False,Out-of-network,221,True,Hospital_61,2.3,North,1,0.99956197
P01262,Provider_1262,City_62,GA,32.2156,-82.8501,Neurology,General Practice,Specialty Care,14,450,43,1.27,1.0,True,False,Out-of-network,285,False,Hospital_62,2.46,East,0,0.0026315362
P01263,Provider_1263,City_63,NC,35.8596,-78.9193,Urology,Dermatology,Specialty Care,40,380,12,3.83,0.79,True,True,In-network,85,False,Hospital_63,3.87,West,1,0.99988925
P01264,Provider_1264,City_64,TX,32.1186,-99.7518,Psychiatry,Pediatrics,Specialty Care,28,250,29,4.55,0.54,True,True,Out-of-network,470,True,Hospital_64,4.45,South,1,0.9998808
P01265,Provider_1265,City_65,TX,32.1686,-99.7018,Cardiology,General Practice,Specialty Care,17,500,42,4.79,0.44,True,True,Out-of-network,163,False,Hospital_65,1.88,East,0,0.002289136
P01266,Provider_1266,City_66,NC,36.0096,-78.7693,Dermatology,Endocrinology,Specialty Care,26,200,60,2.47,0.83,True,True,In-network,477,True,Hospital_66,2.07,North,1,0.99952865
P01267,Provider_1267,City_67,TX,32.2686,-99.6018,Gastroenterology,Neurology,Specialty Care,12,420,47,2.02,0.06,False,False,In-network,471,False,Hospital_67,4.79,East,1,0.999851
P01268,Provider_1268,City_68,NC,36.1096,-78.6693,Dermatology,Neurology,Specialty Care,33,200,25,4.43,0.59,False,True,Out-of-network,416,False,Hospital_68,4.95,South,1,0.9998808
P01269,Provider_1269,City_69,CO,39.9501,-105.3821,Ophthalmology,ENT,Specialty Care,1,180,42,4.95,0.25,True,False,Out-of-network,389,False,Hospital_69,2.62,South,1,0.999603
P01270,Provider_1270,City_70,IL,41.0831,-88.9485,Pediatrics,ENT,Primary Care,36,150,6,4.3,0.52,True,False,In-network,50,True,Hospital_70,4.75,East,1,0.99988925
P01271,Provider_1271,City_71,CO,39.5501,-105.7821,Psychiatry,Urology,Specialty Care,12,250,18,1.75,0.48,True,False,Out-of-network,108,True,Hospital_71,2.83,South,1,0.9997701
P01272,Provider_1272,City_72,NV,38.8526,-116.3694,Psychiatry,ENT,Specialty Care,22,250,23,1.75,0.22,False,False,Out-of-network,60,True,Hospital_72,1.24,North,1,0.99945515
P01273,Provider_1273,City_73,MA,42.5072,-71.2824,Neurology,Orthopedics,Specialty Care,10,450,51,2.61,0.1,False,True,Out-of-network,61,True,Hospital_73,3.09,North,1,0.99892586
P01274,Provider_1274,City_74,CO,39.7001,-105.6321,Urology,Neurology,Specialty Care,19,380,16,2.46,0.66,True,False,In-network,285,False,Hospital_74,3.31,West,1,0.9998802
P01275,Provider_1275,City_75,PA,41.4033,-76.9945,Orthopedics,Dermatology,Surgical,24,400,50,1.85,0.87,False,True,In-network,217,False,Hospital_75,3.62,East,1,0.99988866
P01276,Provider_1276,City_76,CO,39.8001,-105.5321,Endocrinology,Gastroenterology,Specialty Care,14,400,48,4.59,0.15,False,True,In-network,419,False,Hospital_76,2.4,South,1,0.9994167
P01277,Provider_1277,City_77,OH,40.7173,-82.6071,Dermatology,Ophthalmology,Specialty Care,21,200,27,4.49,0.22,True,False,In-network,376,True,Hospital_77,5.0,West,1,0.9998517
P01278,Provider_1278,City_78,TX,32.3186,-99.5518,Endocrinology,Cardiology,Specialty Care,16,400,36,1.22,0.97,True,True,Out-of-network,182,True,Hospital_78,4.72,East,1,0.99988866
P01279,Provider_1279,City_79,NY,43.6994,-73.8179,ENT,Orthopedics,Specialty Care,18,220,42,1.26,0.31,False,True,In-network,294,True,Hospital_79,2.16,South,1,0.9994137
P01280,Provider_1280,City_80,NV,39.2526,-115.9694,General Practice,Ophthalmology,Primary Care,23,100,48,3.75,0.73,False,False,In-network,441,False,Hospital_80,2.88,East,1,0.99978274
P01281,Provider_1281,City_81,IL,40.6331,-89.3985,Urology,Dermatology,Specialty Care,8,380,50,1.64,0.61,True,False,Out-of-network,87,True,Hospital_81,4.64,South,1,0.99988866
P01282,Provider_1282,City_82,IL,40.6831,-89.3485,Gastroenterology,Pediatrics,Specialty Care,28,420,29,3.09,0.23,True,False,In-network,358,True,Hospital_82,2.18,East,1,0.9994167
P01283,Provider_1283,City_83,NC,35.8596,-78.9193,Urology,Gastroenterology,Specialty Care,23,380,39,4.43,0.39,True,True,In-network,227,True,Hospital_83,3.5,North,1,0.9998622
P01284,Provider_1284,City_84,CO,39.7001,-105.6321,ENT,Urology,Specialty Care,14,220,51,2.78,0.93,True,False,Out-of-network,63,False,Hospital_84,3.92,West,1,0.99988866
P01285,Provider_1285,City_85,MA,42.6072,-71.1824,Urology,Neurology,Specialty Care,35,380,6,2.41,0.15,True,True,Out-of-network,353,True,Hospital_85,1.63,East,1,0.9994137
P01286,Provider_1286,City_86,AZ,34.2989,-110.8437,Cardiology,General Practice,Specialty Care,34,500,26,3.28,0.16,False,False,Out-of-network,96,False,Hospital_86,1.61,East,0,0.002289136
P01287,Provider_1287,City_87,NY,43.5994,-73.9179,Gastroenterology,Pediatrics,Specialty Care,28,420,48,1.12,0.35,True,False,In-network,105,True,Hospital_87,4.94,West,1,0.9998615
P01288,Provider_1288,City_88,AZ,34.3989,-110.7437,Cardiology,General Practice,Specialty Care,11,500,46,1.09,0.32,True,False,In-network,337,False,Hospital_88,1.04,South,0,0.0021167668
P01289,Provider_1289,City_89,IL,41.0331,-88.9985,Endocrinology,Cardiology,Specialty Care,27,400,39,4.8,0.39,True,False,Out-of-network,241,False,Hospital_89,3.81,South,1,0.9998622
P01290,Provider_1290,City_90,GA,32.6156,-82.4501,Ophthalmology,ENT,Specialty Care,33,180,43,1.92,0.74,False,True,Out-of-network,57,False,Hospital_90,4.7,East,1,0.99988866
P01291,Provider_1291,City_91,NV,38.8026,-116.4194,Gastroenterology,Endocrinology,Specialty Care,5,420,31,4.76,0.97,True,True,Out-of-network,76,False,Hospital_91,3.14,South,1,0.99988925
P01292,Provider_1292,City_92,CO,39.6001,-105.7321,Psychiatry,ENT,Specialty Care,39,250,26,1.2,0.04,False,True,Out-of-network,203,True,Hospital_92,3.22,South,1,0.9998615
P01293,Provider_1293,City_93,TX,32.0686,-99.8018,Endocrinology,Gastroenterology,Specialty Care,39,400,24,1.97,0.11,False,False,Out-of-network,380,True,Hospital_93,4.98,West,1,0.999851
P01294,Provider_1294,City_94,NV,38.9526,-116.2694,Endocrinology,Endocrinology,Specialty Care,17,400,48,1.73,0.05,False,False,Out-of-network,50,False,Hospital_94,2.2,South,1,0.99945515
P01295,Provider_1295,City_95,TX,32.1686,-99.7018,Urology,Pediatrics,Specialty Care,24,380,49,3.4,0.19,False,False,Out-of-network,125,True,Hospital_95,2.91,South,1,0.9997489
P01296,Provider_1296,City_96,OH,40.6673,-82.6571,Gastroenterology,Urology,Specialty Care,1,420,8,4.52,0.43,False,False,Out-of-network,114,True,Hospital_96,2.51,North,1,0.999458
P01297,Provider_1297,City_97,AZ,34.3489,-110.7937,Urology,Psychiatry,Specialty Care,21,380,41,4.41,0.67,True,False,Out-of-network,388,True,Hospital_97,1.04,South,1,0.99953103
P01298,Provider_1298,City_98,OH,40.7673,-82.5571,General Practice,ENT,Primary Care,7,100,51,4.44,0.94,True,False,Out-of-network,113,True,Hospital_98,1.59,South,1,0.9995641
P01299,Provider_1299,City_99,PA,41.6033,-76.7945,Psychiatry,Urology,Specialty Care,8,250,8,1.53,0.95,False,True,In-network,304,False,Hospital_99,3.89,North,1,0.9998802
P01300,Provider_1300,City_100,IL,41.0831,-88.9485,Urology,Gastroenterology,Specialty Care,10,380,54,4.59,0.06,False,True,Out-of-network,154,False,Hospital_100,4.87,East,1,0.9998622
P01301,Provider_1301,City_101,IL,40.6331,-89.3985,Pediatrics,Dermatology,Primary Care,4,150,51,3.66,0.41,False,False,In-network,242,True,Hospital_1,1.86,West,1,0.999458
P01302,Provider_1302,City_102,OH,40.4673,-82.8571,General Practice,Gastroenterology,Primary Care,19,100,30,1.33,0.72,True,False,In-network,90,False,Hospital_2,4.6,East,1,0.99988866
P01303,Provider_1303,City_103,NY,43.3994,-74.1179,ENT,ENT,Specialty Care,17,220,53,2.47,0.5,True,True,Out-of-network,288,False,Hospital_3,2.69,West,1,0.9997013
P01304,Provider_1304,City_104,FL,28.1444,-81.6103,Pediatrics,General Practice,Primary Care,19,150,48,3.34,0.26,False,False,Out-of-network,384,True,Hospital_4,3.51,North,1,0.9998517
P01305,Provider_1305,City_105,NC,35.9596,-78.8193,Cardiology,Neurology,Specialty Care,36,500,47,1.11,0.71,False,True,Out-of-network,278,True,Hospital_5,4.55,South,1,0.99913836
P01306,Provider_1306,City_106,IL,40.8831,-89.1485,Gastroenterology,Psychiatry,Specialty Care,12,420,53,3.46,0.15,True,True,In-network,406,False,Hospital_6,4.18,East,1,0.9998517
P01307,Provider_1307,City_107,NV,39.1026,-116.1194,Gastroenterology,Gastroenterology,Specialty Care,33,420,39,3.09,0.94,False,False,Out-of-network,486,True,Hospital_7,3.44,North,1,0.9998808
P01308,Provider_1308,City_108,NV,39.1526,-116.0694,Urology,Gastroenterology,Specialty Care,21,380,33,4.77,0.65,True,True,Out-of-network,200,True,Hospital_8,2.62,West,1,0.99970335
P01309,Provider_1309,City_109,TX,32.3686,-99.5018,Ophthalmology,Gastroenterology,Specialty Care,11,180,39,2.64,0.39,True,True,Out-of-network,365,True,Hospital_9,2.23,East,1,0.9994137
P01310,Provider_1310,City_110,NY,43.7494,-73.7679,General Practice,Endocrinology,Primary Care,9,100,39,3.65,0.7,False,True,In-network,236,True,Hospital_10,1.26,North,1,0.9995641
